"","ChunkHash","B"
"255",8603,-7.31688034792179
"256",8714,-7.31688034792179
"257",8871,-7.31688034792179
"258",8961,-7.31688034792179
"259",8964,-7.31688034792179
"260",9056,-7.31688034792179
"261",9684,-7.31688034792179
"262",10560,-7.31688034792179
"263",11076,-7.31688034792179
"264",11447,-7.31688034792179
"265",11886,-7.31688034792179
"266",11899,-7.31688034792179
"267",12142,-7.31688034792179
"268",12163,-7.31688034792179
"269",12293,-7.31688034792179
"270",12440,-7.31688034792179
"271",12442,-7.31688034792179
"272",12443,-7.31688034792179
"273",13813,-7.31688034792179
"274",14084,-7.31688034792179
"275",14175,-7.31688034792179
"276",14658,-7.31688034792179
"277",14858,-7.31688034792179
"278",15028,-7.31688034792179
"279",15454,-7.31688034792179
"280",15628,-7.31688034792179
"281",16878,-7.31688034792179
"282",16879,-7.31688034792179
"283",17362,-7.31688034792179
"284",18073,-7.31688034792179
"285",18475,-7.31688034792179
"286",18882,-7.31688034792179
"287",19055,-7.31688034792179
"288",19220,-7.31688034792179
"289",19736,-7.31688034792179
"290",19740,-7.31688034792179
"291",20837,-7.31688034792179
"292",20986,-7.31688034792179
"293",21252,-7.31688034792179
"294",22007,-7.31688034792179
"295",22291,-7.31688034792179
"296",22407,-7.31688034792179
"297",23482,-7.31688034792179
"298",24352,-7.31688034792179
"299",24508,-7.31688034792179
"300",24509,-7.31688034792179
"301",24769,-7.31688034792179
"302",24771,-7.31688034792179
"303",24969,-7.31688034792179
"304",25220,-7.31688034792179
"305",25647,-7.31688034792179
"306",26673,-7.31688034792179
"307",27515,-7.31688034792179
"308",27773,-7.31688034792179
"309",29540,-7.31688034792179
"310",29542,-7.31688034792179
"311",30620,-7.31688034792179
"312",31444,-7.31688034792179
"313",31588,-7.31688034792179
"314",32974,-7.31688034792179
"315",32975,-7.31688034792179
"316",33344,-7.31688034792179
"317",34264,-7.31688034792179
"318",34805,-7.31688034792179
"319",35245,-7.31688034792179
"320",35311,-7.31688034792179
"321",35913,-7.31688034792179
"322",37149,-7.31688034792179
"323",37520,-7.31688034792179
"324",37681,-7.31688034792179
"325",38181,-7.31688034792179
"326",38296,-7.31688034792179
"327",38599,-7.31688034792179
"328",39462,-7.31688034792179
"329",40670,-7.31688034792179
"330",40843,-7.31688034792179
"331",41389,-7.31688034792179
"332",41510,-7.31688034792179
"333",42755,-7.31688034792179
"334",45601,-7.31688034792179
"335",45603,-7.31688034792179
"336",48016,-7.31688034792179
"337",48715,-7.31688034792179
"338",48880,-7.31688034792179
"339",49377,-7.31688034792179
"340",49940,-7.31688034792179
"341",50139,-7.31688034792179
"342",50736,-7.31688034792179
"343",52337,-7.31688034792179
"344",55997,-7.31688034792179
"345",56467,-7.31688034792179
"346",57545,-7.31688034792179
"347",57660,-7.31688034792179
"348",57662,-7.31688034792179
"349",62059,-7.31688034792179
"350",63788,-7.31688034792179
"351",66289,-7.31688034792179
"352",66349,-7.31688034792179
"353",69807,-7.31688034792179
"354",69808,-7.31688034792179
"355",70418,-7.31688034792179
"356",70419,-7.31688034792179
"357",73940,-7.31688034792179
"358",83967,-7.31688034792179
"359",85710,-7.31688034792179
"360",86115,-7.31688034792179
"361",87955,-7.31688034792179
"362",92040,-7.31688034792179
"363",94567,-7.31688034792179
"364",96488,-7.31688034792179
"365",97524,-7.31688034792179
"366",99707,-7.31688034792179
"367",113392,-7.31688034792179
"368",113417,-7.31688034792179
"369",114881,-7.31688034792179
"370",118597,-7.31688034792179
"371",120280,-7.31688034792179
"372",13,-8.01035958891978
"373",223,-8.01035958891978
"374",323,-8.01035958891978
"375",330,-8.01035958891978
"376",358,-8.01035958891978
"377",410,-8.01035958891978
"378",429,-8.01035958891978
"379",431,-8.01035958891978
"380",616,-8.01035958891978
"381",796,-8.01035958891978
"382",837,-8.01035958891978
"383",893,-8.01035958891978
"384",919,-8.01035958891978
"385",1262,-8.01035958891978
"386",1406,-8.01035958891978
