"","ChunkHash","Activation"
"329",5447,-7.31688034792179
"330",5563,-7.22289725374405
"331",5571,-7.31688034792179
"332",5697,-7.31688034792179
"333",5698,-7.31688034792179
"334",5752,-7.31688034792179
"335",5861,-7.28279129879774
"336",6010,-7.29971084772607
"337",6027,-7.31688034792179
"338",6151,-7.31688034792179
"339",6234,-7.31688034792179
"340",6245,-7.29971084772607
"341",6263,-7.29083814149987
"342",6364,-7.30913757812857
"343",6368,-7.30913757812857
"344",6490,-7.31020524285421
"345",6715,-7.2015316767032
"346",6716,-7.18066711885088
"347",6788,-7.29971084772607
"348",6834,-7.31688034792179
"349",6942,-7.31688034792179
"350",7073,-7.31688034792179
"351",7164,-7.29396958665003
"352",7165,-7.29396958665003
"353",7316,-7.31020524285421
"354",7419,-7.31688034792179
"355",7649,-7.22416204367214
"356",8028,-7.30284229287623
"357",8045,-7.21597603497009
"358",8214,-7.31688034792179
"359",8589,-7.24826737497519
"360",8724,-7.301332536628
"361",8858,-7.31219595881657
"362",8930,-7.30913757812857
"363",9108,-7.26374775896427
"364",9460,-7.31688034792179
"365",10209,-7.23837953119592
"366",10249,-7.26094341705493
"367",10261,-7.31688034792179
"368",10431,-7.30913757812857
"369",10762,-7.30284229287623
"370",10905,-7.31688034792179
"371",13,-8.01035958891978
"372",33,-8.01035958891978
"373",75,-8.01035958891978
"374",82,-7.98514324602194
"375",113,-8.01035958891978
"376",139,-8.01035958891978
"377",174,-8.01035958891978
"378",175,-8.01035958891978
"379",225,-7.0057850270222
"380",251,-7.90542362121376
"381",256,-8.01035958891978
"382",275,-8.01035958891978
"383",287,-8.01035958891978
"384",301,-7.98514324602194
"385",361,-7.97964378614746
"386",384,-8.01035958891978
"387",385,-8.01035958891978
"388",391,-8.01035958891978
"389",393,-8.01035958891978
"390",404,-8.01035958891978
"391",435,-8.01035958891978
"392",436,-8.01035958891978
"393",472,-8.01035958891978
"394",475,-8.01035958891978
"395",507,-8.01035958891978
"396",514,-8.01035958891978
"397",517,-8.01035958891978
"398",519,-8.01035958891978
"399",524,-8.01035958891978
"400",551,-8.01035958891978
"401",585,-7.94774877398079
"402",601,-7.94774877398079
"403",615,-7.90542362121376
"404",669,-8.01035958891978
"405",671,-8.01035958891978
"406",673,-8.01035958891978
"407",681,-8.01035958891978
"408",725,-7.96739783356954
"409",741,-8.01035958891978
"410",787,-7.98514324602194
"411",803,-8.01035958891978
"412",804,-8.01035958891978
"413",840,-8.01035958891978
"414",841,-8.01035958891978
"415",843,-8.01035958891978
"416",864,-7.99319008872407
"417",883,-7.9375512024948
"418",884,-8.01035958891978
"419",889,-8.01035958891978
"420",894,-8.01035958891978
"421",898,-8.01035958891978
"422",902,-7.88020727831592
"423",914,-8.01035958891978
"424",918,-8.01035958891978
"425",919,-8.01035958891978
"426",929,-8.01035958891978
"427",950,-8.01035958891978
"428",965,-7.98514324602194
"429",976,-8.01035958891978
"430",986,-7.97228083616949
"431",1020,-7.90194012372059
"432",1022,-8.01035958891978
"433",1031,-7.97964378614746
"434",1034,-8.01035958891978
"435",1078,-8.01035958891978
"436",1085,-8.01035958891978
"437",1088,-8.01035958891978
"438",1110,-8.01035958891978
"439",1166,-8.01035958891978
"440",1186,-8.01035958891978
"441",1193,-8.01035958891978
"442",1211,-7.9139319753467
"443",1215,-7.9139319753467
"444",1217,-8.01035958891978
"445",1227,-8.01035958891978
"446",1243,-8.01035958891978
"447",1245,-8.01035958891978
"448",1256,-8.01035958891978
"449",1264,-8.01035958891978
"450",1291,-8.01035958891978
"451",1299,-8.01035958891978
"452",1300,-8.01035958891978
"453",1301,-8.01035958891978
"454",1316,-8.01035958891978
"455",1329,-7.98744882764803
"456",1338,-8.01035958891978
"457",1340,-8.01035958891978
"458",1341,-8.01035958891978
"459",1375,-8.01035958891978
"460",1385,-8.01035958891978
"461",1419,-7.96739783356954
"462",1421,-7.96739783356954
"463",1441,-8.01035958891978
"464",1447,-8.01035958891978
"465",1528,-8.01035958891978
"466",1529,-8.01035958891978
"467",1530,-8.01035958891978
"468",1540,-8.01035958891978
"469",1541,-8.01035958891978
"470",1552,-8.01035958891978
"471",1558,-7.99773381652661
"472",1579,-8.01035958891978
"473",1581,-8.01035958891978
"474",1598,-8.01035958891978
"475",1611,-8.01035958891978
"476",1657,-7.98256582504807
"477",1700,-7.97964378614746
"478",1709,-7.98744882764803
"479",1750,-8.01035958891978
"480",1752,-8.01035958891978
"481",1753,-8.01035958891978
"482",1757,-7.98514324602194
"483",1768,-7.98514324602194
"484",1822,-7.99319008872407
"485",1823,-8.01035958891978
"486",1843,-8.01035958891978
"487",1883,-8.01035958891978
"488",1946,-7.98514324602194
"489",1969,-7.97802209724553
"490",1981,-8.01035958891978
"491",2046,-8.01035958891978
"492",2049,-8.01035958891978
"493",2055,-8.01035958891978
"494",2063,-8.01035958891978
"495",2105,-8.01035958891978
"496",2106,-8.01035958891978
"497",2152,-7.98256582504807
"498",2157,-7.99143853127428
"499",2163,-8.01035958891978
"500",2186,-8.01035958891978
"501",2188,-8.01035958891978
"502",2207,-7.99319008872407
"503",2227,-7.97627053979574
"504",2242,-8.01035958891978
"505",2243,-8.01035958891978
"506",2314,-8.01035958891978
"507",2327,-8.01035958891978
"508",2392,-8.01035958891978
"509",2393,-8.01035958891978
"510",2412,-8.01035958891978
"511",2421,-8.01035958891978
"512",2429,-8.01035958891978
"513",2486,-8.01035958891978
