"","i","j","x"
"126",129,65,63.0980861244019
"127",130,65,4.26641863474604
"128",339,65,17.3748353096179
"129",598,65,19.6535022354694
"130",609,65,12.6196172248804
"131",671,65,23.9772727272727
"132",1841,65,6.4110354885756
"133",2946,65,49.9526515151515
"134",3840,65,133.207070707071
"135",3893,65,17.6303475935829
"136",6528,65,57.0887445887446
"137",12373,65,63.0980861244019
"138",2,93,9.2739099859353
"139",3,93,1.4484197808836
"140",4,93,4.51163188504961
"141",5,93,1.68616545198824
"142",9,93,1.49044981916817
"143",14,93,0.598745981875306
"144",17,93,7.58774453394707
"145",18,93,1.14335876538928
"146",19,93,1.1279079712624
"147",20,93,1.20093798379018
"148",21,93,0.953887884267631
"149",22,93,0.670403131513395
"150",30,93,4.90971705137751
"151",37,93,2.69242547978767
"152",39,93,1.85478199718706
"153",40,93,1.3795899152631
"154",68,93,16.6930379746835
"155",80,93,1.99677487735449
"156",81,93,2.64968856741009
"157",84,93,4.07147267675208
"158",90,93,1.21403912543153
"159",92,93,1.53147137382418
"160",93,93,60.7019562715765
"161",95,93,1.25826919407162
"162",96,93,0.475585127483862
"163",109,93,41.7325949367089
"164",130,93,0.594058290914005
"165",160,93,9.81943410275503
"166",189,93,2.52924817798236
"167",231,93,2.0608688857634
"168",257,93,0.308558927443319
"169",290,93,6.42039922103213
"170",296,93,4.17325949367089
"171",310,93,55.6434599156118
"172",321,93,3.73724730776497
"173",339,93,3.62892129884425
"174",355,93,0.9995831122565
"175",378,93,1.17556605455518
"176",379,93,1.17556605455518
"177",422,93,0.830499401725549
"178",545,93,12.8407984420643
"179",617,93,23.8471971066908
"180",624,93,2.19645236508994
"181",665,93,5.96179927667269
"182",796,93,83.4651898734177
"183",839,93,2.35113210911036
"184",851,93,2.35113210911036
"185",915,93,20.8662974683544
"186",1111,93,4.90971705137751
"187",1230,93,18.5478199718706
"188",1272,93,41.7325949367089
"189",1672,93,4.90971705137751
"190",1687,93,41.7325949367089
"191",1688,93,16.6930379746835
"192",1691,93,13.910864978903
"193",1808,93,9.2739099859353
"194",1841,93,3.57070331009274
"195",1928,93,7.2578425976885
"196",2005,93,9.2739099859353
"197",2228,93,1.31441243895146
"198",2239,93,7.2578425976885
"199",2455,93,13.910864978903
"200",2494,93,9.81943410275503
"201",2584,93,4.28026614735476
"202",2957,93,8.78580946035976
"203",3330,93,4.63695499296765
"204",3332,93,2.08662974683544
"205",3465,93,2.01120939454019
"206",3496,93,18.5478199718706
"207",3497,93,11.9235985533454
"208",3498,93,16.6930379746835
"209",3502,93,33.3860759493671
"210",3771,93,19.6388682055101
"211",3841,93,11.1286919831224
"212",3894,93,8.78580946035976
"213",4027,93,83.4651898734177
"214",4971,93,23.8471971066908
"215",5176,93,55.6434599156118
"216",5549,93,12.8407984420643
"217",5552,93,15.1754890678941
"218",5807,93,41.7325949367089
"219",6635,93,83.4651898734177
"220",8278,93,20.8662974683544
"221",9054,93,20.8662974683544
"222",9056,93,30.3509781357883
"223",11875,93,41.7325949367089
"224",12373,93,8.78580946035976
"225",14008,93,33.3860759493671
"226",15357,93,20.8662974683544
"227",17200,93,18.5478199718706
"228",22078,93,18.5478199718706
"229",30288,93,33.3860759493671
"230",31899,93,7.58774453394707
"231",34540,93,41.7325949367089
"232",41799,93,33.3860759493671
"233",50300,93,83.4651898734177
"234",51288,93,166.930379746835
"235",52289,93,33.3860759493671
"236",61260,93,33.3860759493671
"237",64048,93,41.7325949367089
"238",68365,93,33.3860759493671
"239",90396,93,33.3860759493671
"240",90488,93,166.930379746835
"241",108299,93,33.3860759493671
"242",114953,93,166.930379746835
"243",123270,93,41.7325949367089
"244",123272,93,41.7325949367089
"245",123275,93,41.7325949367089
"246",1,103,1.152249890782
"247",2,103,2.68858307849134
"248",3,103,1.2334822583534
"249",4,103,1.30795933548227
"250",5,103,1.22208321749606
"251",6,103,24.197247706422
"252",7,103,0.967889908256881
"253",8,103,1.0643950603998
"254",9,103,1.08023427260813
"255",11,103,8.06574923547401
"256",12,103,0.456551843517397
"257",13,103,8.06574923547401
"258",14,103,0.833190738815105
"259",17,103,2.19974979149291
"260",18,103,1.1601420133216
"261",19,103,7.03028142821721
"262",20,103,7.83364134380569
"263",21,103,0.829619921363041
"264",22,103,1.36048782285104
"265",30,103,0.711683756071236
"266",35,103,0.597462906331408
"267",36,103,1.6131498470948
"268",37,103,0.93666765315182
"269",38,103,0.268858307849134
"270",39,103,0.806574923547401
"271",40,103,0.999886268860414
"272",45,103,0.834387851945587
"273",55,103,0.645259938837921
"274",58,103,1.05205424810531
"275",60,103,0.620442248882616
"276",62,103,0.490484750805852
"277",63,103,1.8978233495233
"278",65,103,4.032874617737
"279",66,103,2.7653997378768
"280",79,103,4.8394495412844
"281",80,103,1.15776304815416
"282",81,103,1.53633318770933
"283",83,103,1.152249890782
"284",90,103,0.571934945788157
"285",92,103,1.33195858934433
"286",95,103,0.486376838320041
"287",96,103,0.965132387150736
"288",104,103,1.6131498470948
"289",120,103,1.27353935296958
"290",121,103,1.2098623853211
"291",126,103,4.8394495412844
"292",130,103,0.775000816219922
"293",131,103,1.51232798165138
"294",144,103,0.165734573331658
"295",162,103,3.456749672346
"296",164,103,1.728374836173
"297",189,103,1.09987489574646
"298",221,103,0.526027124052653
"299",224,103,0.820245684963458
"300",226,103,0.849026235313053
