"","user_screen_name","topHashtag","hashtagUsedP","d","NCell","DVName","maxNP","totN"
"30","twitter_ru",TRUE,FALSE,0.7,44,"topHashtagAct",FALSE,NA
"31","twitter_ru",FALSE,TRUE,0.7,5,"topHashtagAct",FALSE,53
"32","twitter_ru",TRUE,TRUE,0.7,9,"topHashtagAct",FALSE,53
"33","twitter_ru",FALSE,FALSE,0.8,628,"topHashtagAct",FALSE,NA
"34","twitter_ru",TRUE,FALSE,0.8,44,"topHashtagAct",FALSE,NA
"35","twitter_ru",FALSE,TRUE,0.8,5,"topHashtagAct",FALSE,53
"36","twitter_ru",TRUE,TRUE,0.8,9,"topHashtagAct",FALSE,53
"37","twitter_ru",FALSE,FALSE,0.9,628,"topHashtagAct",FALSE,NA
"38","twitter_ru",TRUE,FALSE,0.9,44,"topHashtagAct",FALSE,NA
"39","twitter_ru",FALSE,TRUE,0.9,5,"topHashtagAct",FALSE,53
"40","twitter_ru",TRUE,TRUE,0.9,9,"topHashtagAct",FALSE,53
"41","twitter_ru",FALSE,FALSE,1,628,"topHashtagAct",FALSE,NA
"42","twitter_ru",TRUE,FALSE,1,44,"topHashtagAct",FALSE,NA
"43","twitter_ru",FALSE,TRUE,1,5,"topHashtagAct",FALSE,53
"44","twitter_ru",TRUE,TRUE,1,9,"topHashtagAct",FALSE,53
"45","twitter_ru",FALSE,FALSE,1.1,628,"topHashtagAct",FALSE,NA
"46","twitter_ru",TRUE,FALSE,1.1,44,"topHashtagAct",FALSE,NA
"47","twitter_ru",FALSE,TRUE,1.1,5,"topHashtagAct",FALSE,53
"48","twitter_ru",TRUE,TRUE,1.1,9,"topHashtagAct",FALSE,53
"49","twitter_ru",FALSE,FALSE,1.2,628,"topHashtagAct",FALSE,NA
"50","twitter_ru",TRUE,FALSE,1.2,44,"topHashtagAct",FALSE,NA
"51","twitter_ru",FALSE,TRUE,1.2,5,"topHashtagAct",FALSE,53
"52","twitter_ru",TRUE,TRUE,1.2,9,"topHashtagAct",FALSE,53
"53","twitter_ru",FALSE,FALSE,1.3,628,"topHashtagAct",FALSE,NA
